文件,总代码量,总注释量,总空行量,实际代码量,实际代码比率,总注释比率,总空行比率
login_spider.py,81,3,4,74,0.9135802469135802,0.037037037037037035,0.04938271604938271
ticket_reservation.py,148,4,15,129,0.8716216216216216,0.02702702702702703,0.10135135135135136
autoMove.py,12,0,0,12,1.0,0.0,0.0
in.py,15,4,2,9,0.6,0.26666666666666666,0.13333333333333333
process.py,23,0,1,22,0.9565217391304348,0.0,0.043478260869565216
main.py,101,1,16,84,0.8316831683168316,0.009900990099009901,0.15841584158415842
shimo.py,0,0,0,0,0,0,0
test.py,7,0,0,7,1.0,0.0,0.0
weixin_req.py,25,1,4,20,0.8,0.04,0.16
items.py,18,5,5,8,0.4444444444444444,0.2777777777777778,0.2777777777777778
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.23300970873786409
pipelines.py,11,5,3,3,0.2727272727272727,0.45454545454545453,0.2727272727272727
settings.py,90,68,17,5,0.05555555555555555,0.7555555555555555,0.18888888888888888
ccYM.py,21,5,2,14,0.6666666666666666,0.23809523809523808,0.09523809523809523
__init__.py,4,4,0,0,0.0,1.0,0.0
__init__.py,0,0,0,0,0,0,0
cha_pic.py,25,1,6,18,0.72,0.04,0.24
items.py,14,5,4,5,0.35714285714285715,0.35714285714285715,0.2857142857142857
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.23300970873786409
pipelines.py,11,5,3,3,0.2727272727272727,0.45454545454545453,0.2727272727272727
settings.py,90,68,17,5,0.05555555555555555,0.7555555555555555,0.18888888888888888
ccYM.py,23,5,5,13,0.5652173913043478,0.21739130434782608,0.21739130434782608
__init__.py,4,4,0,0,0.0,1.0,0.0
__init__.py,0,0,0,0,0,0,0
items.py,17,5,4,8,0.47058823529411764,0.29411764705882354,0.23529411764705882
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.23300970873786409
pipelines.py,57,9,13,35,0.6140350877192983,0.15789473684210525,0.22807017543859648
settings.py,93,65,17,11,0.11827956989247312,0.6989247311827957,0.1827956989247312
cqHoseSpider.py,55,1,9,45,0.8181818181818182,0.01818181818181818,0.16363636363636364
__init__.py,4,4,0,0,0.0,1.0,0.0
__init__.py,0,0,0,0,0,0,0
analysis.py,13,0,0,13,1.0,0.0,0.0
items.py,25,5,4,16,0.64,0.2,0.16
middlewares.py,103,5,24,74,0.7184466019417476,0.04854368932038835,0.23300970873786409
pipelines.py,35,12,6,17,0.4857142857142857,0.34285714285714286,0.17142857142857143
settings.py,91,66,17,8,0.08791208791208792,0.7252747252747253,0.18681318681318682
cqjobs.py,213,5,20,188,0.8826291079812206,0.023474178403755867,0.09389671361502347
__init__.py,4,4,0,0,0.0,1.0,0.0
__init__.py,0,0,0,0,0,0,0
scrapwer.py,205,0,28,177,0.8634146341463415,0.0,0.13658536585365855
test.py,110,5,11,94,0.8545454545454545,0.045454545454545456,0.1
test1.py,43,5,5,33,0.7674418604651163,0.11627906976744186,0.11627906976744186
articleExtractor.py,397,34,24,339,0.853904282115869,0.08564231738035265,0.060453400503778336
find_all_url.py,44,1,14,29,0.6590909090909091,0.022727272727272728,0.3181818181818182
getHtml.py,100,7,6,87,0.87,0.07,0.06
