文件,总代码量,总注释量,总空行量,实际代码量,实际代码比率,总注释比率,总空行比率
png.py,3790,437,346,3007,0.7934036939313984,0.11530343007915568,0.09129287598944592
surface_test.py,2463,32,349,2082,0.8453105968331304,0.012992285830288266,0.1416971173365814
math_test.py,1613,11,136,1466,0.9088654680719156,0.006819590824550527,0.08431494110353377
sprite.py,1590,310,361,919,0.5779874213836478,0.1949685534591195,0.2270440251572327
freetype_test.py,1485,14,195,1276,0.8592592592592593,0.009427609427609429,0.13131313131313133
pixelarray_test.py,1405,15,147,1243,0.8846975088967971,0.010676156583629894,0.10462633451957297
sprite_test.py,1072,14,222,836,0.7798507462686567,0.013059701492537313,0.207089552238806
mixer_test.py,1054,24,181,849,0.8055028462998103,0.022770398481973438,0.17172675521821631
color_test.py,1045,19,182,844,0.8076555023923445,0.01818181818181818,0.17416267942583732
transform_test.py,969,57,218,694,0.7162022703818369,0.05882352941176471,0.2249742002063984
midi.py,822,80,140,602,0.732360097323601,0.09732360097323603,0.170316301703163
rect_test.py,789,64,76,649,0.8225602027883396,0.08111533586818757,0.09632446134347276
surfarray_test.py,709,0,109,600,0.8462623413258108,0.0,0.153737658674189
gfxdraw_test.py,709,28,41,640,0.9026798307475318,0.039492242595204514,0.05782792665726375
colordict.py,684,19,3,662,0.9678362573099416,0.027777777777777776,0.0043859649122807015
pixelcopy_test.py,678,1,81,596,0.8790560471976401,0.0014749262536873154,0.11946902654867254
midi.py,657,115,163,379,0.5768645357686454,0.1750380517503805,0.2480974124809741
base_test.py,645,1,90,554,0.8589147286821706,0.0015503875968992248,0.13953488372093026
font_test.py,584,4,101,479,0.8202054794520548,0.00684931506849315,0.17294520547945205
buftools.py,555,24,36,495,0.8918918918918919,0.04324324324324325,0.06486486486486487
display_test.py,521,8,97,416,0.7984644913627639,0.015355086372360844,0.18618042226487524
__init__.py,493,46,85,362,0.7342799188640974,0.09330628803245436,0.1724137931034483
bufferproxy_test.py,492,1,53,438,0.8902439024390244,0.002032520325203252,0.10772357723577236
midi_test.py,475,20,115,340,0.7157894736842105,0.042105263157894736,0.24210526315789474
mask_test.py,470,35,93,342,0.7276595744680852,0.07446808510638298,0.19787234042553192
image_test.py,467,40,83,344,0.7366167023554604,0.08565310492505353,0.1777301927194861
arrinter.py,402,0,34,368,0.9154228855721394,0.0,0.0845771144278607
articleExtractor.py,397,34,24,339,0.8539042821158691,0.08564231738035265,0.060453400503778336
cdrom_test.py,386,3,105,278,0.7202072538860104,0.007772020725388602,0.27202072538860106
sysfont.py,369,46,62,261,0.7073170731707317,0.12466124661246612,0.16802168021680214
_numpysurfarray.py,356,90,79,187,0.5252808988764045,0.2528089887640449,0.22191011235955052
run_tests.py,339,8,60,271,0.7994100294985249,0.02359882005899705,0.17699115044247787
aliens.py,325,12,63,250,0.7692307692307693,0.036923076923076927,0.19384615384615386
aliens.py,322,12,63,247,0.7670807453416149,0.037267080745341616,0.1956521739130435
__init__.py,310,55,74,181,0.5838709677419355,0.1774193548387097,0.23870967741935484
event_test.py,309,5,83,221,0.7152103559870551,0.016181229773462782,0.2686084142394822
cursors.py,300,35,31,234,0.78,0.11666666666666667,0.10333333333333332
snake_game.py,293,6,37,250,0.8532423208191127,0.020477815699658702,0.12627986348122866
async_sub.py,292,13,35,244,0.8356164383561644,0.044520547945205484,0.11986301369863013
surfarray.py,290,88,75,127,0.4379310344827586,0.30344827586206896,0.25862068965517243
draw_test.py,282,3,48,231,0.8191489361702128,0.010638297872340424,0.1702127659574468
tools.py,273,34,13,226,0.8278388278388278,0.12454212454212454,0.047619047619047616
learn.py,271,37,28,206,0.7601476014760148,0.13653136531365315,0.1033210332103321
testsprite.py,267,32,65,170,0.6367041198501873,0.1198501872659176,0.24344569288389514
sound_array_demos.py,262,24,82,156,0.5954198473282443,0.0916030534351145,0.31297709923664124
scrap_test.py,253,4,38,211,0.83399209486166,0.015810276679841896,0.15019762845849802
oldalien.py,237,9,43,185,0.7805907172995781,0.0379746835443038,0.18143459915611812
mixer_music_test.py,234,0,70,164,0.7008547008547008,0.0,0.29914529914529914
test_runner.py,233,26,50,157,0.6738197424892703,0.11158798283261803,0.2145922746781116
time_test.py,217,3,43,171,0.7880184331797235,0.013824884792626729,0.19815668202764974
Py25Queue.py,216,32,32,152,0.7037037037037037,0.14814814814814814,0.14814814814814814
cqjobs.py,213,5,20,188,0.8826291079812206,0.023474178403755867,0.09389671361502347
threads_test.py,212,4,49,159,0.75,0.018867924528301886,0.2311320754716981
scrapwer.py,205,0,28,177,0.8634146341463415,0.0,0.13658536585365855
spider_instagram.py,205,30,29,146,0.7121951219512195,0.14634146341463414,0.14146341463414633
py_pandas_merge.py,204,85,3,116,0.5686274509803921,0.4166666666666667,0.014705882352941175
asd.py,203,6,56,141,0.6945812807881774,0.029556650246305417,0.27586206896551724
pandas_concat.py,199,88,6,105,0.5276381909547738,0.4422110552763819,0.03015075376884422
__init__.py,197,32,38,127,0.6446700507614214,0.16243654822335024,0.1928934010152284
scroll.py,195,5,30,160,0.8205128205128205,0.02564102564102564,0.15384615384615385
chimp.py,194,21,32,141,0.7268041237113402,0.10824742268041238,0.16494845360824742
blit_blends.py,193,3,47,143,0.7409326424870466,0.015544041450777204,0.24352331606217614
sndarray_test.py,188,0,26,162,0.8617021276595744,0.0,0.13829787234042554
re模块.py,186,73,39,74,0.3978494623655914,0.3924731182795699,0.20967741935483872
ftfont.py,185,37,43,105,0.5675675675675675,0.2,0.23243243243243245
ganji_sipder.py,177,0,16,161,0.9096045197740112,0.0,0.0903954802259887
mask.py,176,16,25,135,0.7670454545454546,0.09090909090909093,0.14204545454545456
blit_test.py,171,8,41,122,0.7134502923976608,0.04678362573099415,0.23976608187134504
maoyan.py,165,1,19,145,0.8787878787878788,0.006060606060606061,0.11515151515151514
mouse_test.py,165,3,37,125,0.7575757575757576,0.01818181818181818,0.22424242424242424
id_Extract.py,162,1,6,155,0.9567901234567902,0.006172839506172839,0.037037037037037035
is_phone.py,162,3,15,144,0.8888888888888888,0.018518518518518517,0.0925925925925926
main.py,159,67,25,67,0.42138364779874216,0.42138364779874216,0.15723270440251572
surflock_test.py,158,0,35,123,0.7784810126582279,0.0,0.2215189873417721
as.py,157,3,14,140,0.89171974522293,0.01910828025477707,0.08917197452229299
idDetection.py,156,1,2,153,0.9807692307692308,0.00641025641025641,0.01282051282051282
dxy_profile.py,155,5,21,129,0.832258064516129,0.03225806451612903,0.13548387096774195
fastevent_test.py,150,3,11,136,0.9066666666666666,0.02,0.07333333333333332
classification.py,149,17,30,102,0.6845637583892618,0.11409395973154365,0.20134228187919465
ex2.py,149,1,7,141,0.9463087248322148,0.006711409395973154,0.04697986577181208
month_kg.py,149,0,7,142,0.953020134228188,0.0,0.04697986577181208
